,id,jewish_text,rus_transl,folder,im_name,_merge,source
27,ORG020,"פ‘נ'
 אשה חשובה
 מ‘ הענה לאה
 בת ה‘ יהושע
 שנ‘ ד‘ אלול
 שנת ת‘ר'ט'ו'
 [ת‘נ'צ'ב'ה']","Здесь похоронена  почтенная женщина  госпожа Геня Леа  дочь р. Йехошуа  которая скончалась 4 элула  в год 696,  да будет душа ее завязана в узле жизни.",Оргеев,ORG020,both,Сэфер
28,ORG021,"פנ
 אשה חשו‘ מ‘
 שרה בת ה‘
 ישעיי צבי מצ’
 ו אלול שנת
 ת‘ר'י'ד' ל‘ ת‘נ'צ'ב'ה'","Здесь похоронена  почтенная женщина, госпожа  Сара, дочь р.  Йешаяху Цви, учителя праведности,  6 элула в год  614 по малому летоисчислению, да будет душа ее завязана в узле жизни.",Оргеев,ORG021,both,Сэфер
29,ORG021,"פנ
 אשה חשו‘ מ‘
 שרה בת ה‘
 ישעיי צבי מצ’
 ו אלול שנת
 ת‘ר'י'ד' ל‘ ת‘נ'צ'ב'ה'","Здесь похоронена  почтенная женщина, госпожа  Сара, дочь р.  Йешаяху Цви, учителя праведности,  6 элула в год  614 по малому летоисчислению, да будет душа ее завязана в узле жизни.",Оргеев,ORG021_1,both,Сэфер
30,ORG021,"פנ
 אשה חשו‘ מ‘
 שרה בת ה‘
 ישעיי צבי מצ’
 ו אלול שנת
 ת‘ר'י'ד' ל‘ ת‘נ'צ'ב'ה'","Здесь похоронена  почтенная женщина, госпожа  Сара, дочь р.  Йешаяху Цви, учителя праведности,  6 элула в год  614 по малому летоисчислению, да будет душа ее завязана в узле жизни.",Оргеев,ORG021_2,both,Сэфер
31,ORG022,,,Оргеев,ORG022,both,Сэфер
32,ORG023,,,Оргеев,ORG023,both,Сэфер
33,ORG023,,,Оргеев,ORG023_1,both,Сэфер
34,ORG023,,,Оргеев,ORG023_2,both,Сэфер
35,ORG024,"פנ
 איש חשו הִ
 גברועל ב‘ה גברועל
 שנ‘ בחו‘ תמוז
 שנת תקץ
 ת‘נצ'ב'ה'","Здесь похоронен  почтенный мужчина, р.  Габриэль сын Габриэля,  который скончался в месяц таммуз  в год 590,  да будет душа его завязана в узле жизни.",Оргеев,ORG024,both,Сэфер
36,ORG025,"פ‘נ
 אשה חש‘ב
 מ‘ צפרה
 בת הרר
 אפרים ש‘נ
 יום ג‘ ב‘ח טבת
 שנת תקצו
 לפק תנצבה","Здесь похоронена  почтенная женщина,  госпожа Ципора,  дочь рава р.,  Эфраима, которая скончалась  в 7 день месяца тевет,  в год 596  по малому летоисчислению, да будет душа ее завязана в узле жизни.",Оргеев,ORG025,both,Сэфер
37,ORG026,"פ‘נ
 אישה חשו
 מר‘ ריבה בת
 הר‘ אלקסנדר
 שנ‘ יום ז‘ בח‘
 ניסן שנת
 תקצה
 לפק
 ת‘נ'צ'ב'ה'","Здесь похоронена  почтенная женщина,  госпожа Рива, дочь  р. Александра,  которая скончалась в 7 день месяца нисан, в год  595  по малому летоисчислению,  да будет душа ее завязана в узле жизни.",Оргеев,ORG026,both,Сэфер
38,ORG027,"פנ
 איש חשוב
 הר אלקסנדר
 בן מרדכי
 שנ‘ יום י‘ בח‘
 השוון שנ’
 תקצד לפ‘
 ת‘נ'צ'ב'ה'","Здесь похоронен  почтенный мужчина  р. Александр,  сын Мордехая,  который скончался в 10 день месяца  сиван, в год  594 по малому летоисчислению,  да будет душа его завязана в узле жизни.",Оргеев,ORG027,both,Сэфер
39,ORG027,"פנ
 איש חשוב
 הר אלקסנדר
 בן מרדכי
 שנ‘ יום י‘ בח‘
 השוון שנ’
 תקצד לפ‘
 ת‘נ'צ'ב'ה'","Здесь похоронен  почтенный мужчина  р. Александр,  сын Мордехая,  который скончался в 10 день месяца  сиван, в год  594 по малому летоисчислению,  да будет душа его завязана в узле жизни.",Оргеев,ORG027_1,both,Сэфер
40,ORG027,"פנ
 איש חשוב
 הר אלקסנדר
 בן מרדכי
 שנ‘ יום י‘ בח‘
 השוון שנ’
 תקצד לפ‘
 ת‘נ'צ'ב'ה'","Здесь похоронен  почтенный мужчина  р. Александр,  сын Мордехая,  который скончался в 10 день месяца  сиван, в год  594 по малому летоисчислению,  да будет душа его завязана в узле жизни.",Оргеев,ORG027_2,both,Сэфер
41,ORG027,"פנ
 איש חשוב
 הר אלקסנדר
 בן מרדכי
 שנ‘ יום י‘ בח‘
 השוון שנ’
 תקצד לפ‘
 ת‘נ'צ'ב'ה'","Здесь похоронен  почтенный мужчина  р. Александр,  сын Мордехая,  который скончался в 10 день месяца  сиван, в год  594 по малому летоисчислению,  да будет душа его завязана в узле жизни.",Оргеев,ORG027_3,both,Сэфер
42,ORG028,"פ‘נ
 איש חשוב
 מ‘הורר אליהי
 ב‘מ אלכסנדר
 ש‘נ ךח ימים
 בח‘ טבת שנת
 תקפ לפק
 ת‘נ'צ'ב'ה'","Здесь похоронен  почтенный мужчина,  наш учитель рав раби Элияху,  сын господина Александра,  который скончался 28 числа  месяца тевет, в год  580 по малому летоисчислению,  да будет душа его завязана в узле жизни.",Оргеев,ORG028,both,Сэфер
43,ORG028,"פ‘נ
 איש חשוב
 מ‘הורר אליהי
 ב‘מ אלכסנדר
 ש‘נ ךח ימים
 בח‘ טבת שנת
 תקפ לפק
 ת‘נ'צ'ב'ה'","Здесь похоронен  почтенный мужчина,  наш учитель рав раби Элияху,  сын господина Александра,  который скончался 28 числа  месяца тевет, в год  580 по малому летоисчислению,  да будет душа его завязана в узле жизни.",Оргеев,ORG028_1,both,Сэфер
44,ORG029,"פ‘נ
 האשה חשו
 מרת רבקה
 בת הר יהודה
 שנ‘ ב‘ער'ח
 ניסן שנת תק
 פא לפק
 תנצבה","Здесь похоронена  почтенная женщина  госпожа Ривка,  дочь р. Йехуды,  которая скончалась в канун новомесячья  нисана 581 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG029,both,Сэфер
45,ORG030,"פ‘נ
 אשה חשו‘ מרת
 יוכפד בת הרר
 ברך שנ‘ יום ךד
 בחו חשון שנת
 תקפב לפק
 תנצבה","Здесь похоронена  почтенная женщина, госпожа  Йохевед, дочь р.  Баруха, которая скончалась 24 числа  месяца хешван  582 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG030,both,Сэфер
46,ORG030,"פ‘נ
 אשה חשו‘ מרת
 יוכפד בת הרר
 ברך שנ‘ יום ךד
 בחו חשון שנת
 תקפב לפק
 תנצבה","Здесь похоронена  почтенная женщина, госпожа  Йохевед, дочь р.  Баруха, которая скончалась 24 числа  месяца хешван  582 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG030_1,both,Сэфер
47,ORG031,"אשה
 מ‘ אסתר בת
 ה‘ פייווש שנ‘
 יִד אלול שנ‘
 תִקִצִ לפק
 תנצבה","Женщина,  госпожа Эстер, дочь  р. Файвиша, которая скончалась  14 элула  590 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG031,both,Сэфер
48,ORG031,"אשה
 מ‘ אסתר בת
 ה‘ פייווש שנ‘
 יִד אלול שנ‘
 תִקִצִ לפק
 תנצבה","Женщина,  госпожа Эстер, дочь  р. Файвиша, которая скончалась  14 элула  590 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG031_1,both,Сэфер
49,ORG032,"פ‘נ
 אשה חשו‘
 מרת חייה
 בת הר‘ יחיאל
 שנ‘ יום טב‘*
 בחו‘ איר שנת
 תקצא לפק
 ת‘נצ'ב'ה
 *טו","Здесь похоронена  почтенная женщина  госпожа Хая,  дочь р. Йехиэля,  которая скончалась 15 числа  месяца ияр  591 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG032,both,Сэфер
50,ORG033,"פנ‘
 אשה מרת
 רבקה לאה
 הר‘ צבי שנ‘ יום
 ךה‘ בחו’ טבת
 שנת תקפז
 לפק תנצבה","Здесь покоится  женщина, госпожа  Ривка Леа  р. Цви, которая скончалась  25, в месяц тевет  587 г.  по малому летоисчислению, да будет душа её завязана в узел жизни",Оргеев,ORG033,both,Сэфер
51,ORG034,"פ‘נ'
 אשה
 חשב מרת רייזא
 בת הר‘ שואל
 שנ‘ יום ך‘א
 באדר שנת
 תקצח לפק
 תנצבה","Здесь покоится  женщина  почтенная, госпожа  дочь р. Шоэля,  которая скончалась 21  адара  595 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG034,both,Сэфер
52,ORG034,"פ‘נ'
 אשה
 חשב מרת רייזא
 בת הר‘ שואל
 שנ‘ יום ך‘א
 באדר שנת
 תקצח לפק
 תנצבה","Здесь покоится  женщина  почтенная, госпожа  дочь р. Шоэля,  которая скончалась 21  адара  595 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG034_1,both,Сэфер
53,ORG034,"פ‘נ'
 אשה
 חשב מרת רייזא
 בת הר‘ שואל
 שנ‘ יום ך‘א
 באדר שנת
 תקצח לפק
 תנצבה","Здесь покоится  женщина  почтенная, госпожа  дочь р. Шоэля,  которая скончалась 21  адара  595 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG034_2,both,Сэфер
54,ORG034,"פ‘נ'
 אשה
 חשב מרת רייזא
 בת הר‘ שואל
 שנ‘ יום ך‘א
 באדר שנת
 תקצח לפק
 תנצבה","Здесь покоится  женщина  почтенная, госпожа  дочь р. Шоэля,  которая скончалась 21  адара  595 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG034_3,both,Сэфер
55,ORG034,"פ‘נ'
 אשה
 חשב מרת רייזא
 בת הר‘ שואל
 שנ‘ יום ך‘א
 באדר שנת
 תקצח לפק
 תנצבה","Здесь покоится  женщина  почтенная, госпожа  дочь р. Шоэля,  которая скончалась 21  адара  595 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG034_4,both,Сэфер
56,ORG035,,,Оргеев,ORG035,both,Сэфер
57,ORG036,"פנ
 [א]שת חש
 מרת גיטל
 בר אל",Здесь покоится  Почтенная женщина  госпожа Гитл …  сына ..эль,Оргеев,ORG036,both,Сэфер
58,ORG036,"פנ
 [א]שת חש
 מרת גיטל
 בר אל",Здесь покоится  Почтенная женщина  госпожа Гитл …  сына ..эль,Оргеев,ORG036_1,both,Сэфер
59,ORG037,"פ‘נ
 אשה חשו‘
 מרת רישע בת
 ישראל שנ‘ יום
 ך[ז] בחו’ תמוז
 [תק]פז","Здесь покоится  почтеннная женщина,  госпожа Рисе, дочь  Исраэля, которая скончалась  2[7], в месяц тамуз  587",Оргеев,ORG037,both,Сэфер
60,ORG037,"פ‘נ
 אשה חשו‘
 מרת רישע בת
 ישראל שנ‘ יום
 ך[ז] בחו’ תמוז
 [תק]פז","Здесь покоится  почтеннная женщина,  госпожа Рисе, дочь  Исраэля, которая скончалась  2[7], в месяц тамуз  587",Оргеев,ORG037_1,both,Сэфер
61,ORG038,"פ‘נ
 איש ה‘ח הרר
 אלכסנדר ב‘ה
 שרגה פייבש
 סגל ש‘נ ךא
 יםם ב‘ח אייר
 שנת תקנח
 לפ‘ ת‘נ'צ'ב'ה'","Здесь покоится  почтенный человек, р.  Александр, сын р.  Шрага Файвиш  потомок рода леви, который скончался 21  числа, в месяц Ияр  558 г.  по [малочму] летоисчислению да будет душа его завязана в узел жизни",Оргеев,ORG038,both,Сэфер
62,ORG039,"פנ
 הישיש הרר
 פסח בר יהודה
 שנ יום ז בחוד
 אייר שנת
 תקפט לפק
 תנצבה","Здесь покоится  Старец, рав р.  Песах, сын Йехуды,  который скончался 7 числа, в месяц  ияр,  589  да будет душа его завязана в узел жизни",Оргеев,ORG039,both,Сэфер
63,ORG039,"פנ
 הישיש הרר
 פסח בר יהודה
 שנ יום ז בחוד
 אייר שנת
 תקפט לפק
 תנצבה","Здесь покоится  Старец, рав р.  Песах, сын Йехуды,  который скончался 7 числа, в месяц  ияр,  589  да будет душа его завязана в узел жизни",Оргеев,ORG039_1,both,Сэфер
64,ORG039,"פנ
 הישיש הרר
 פסח בר יהודה
 שנ יום ז בחוד
 אייר שנת
 תקפט לפק
 תנצבה","Здесь покоится  Старец, рав р.  Песах, сын Йехуды,  который скончался 7 числа, в месяц  ияр,  589  да будет душа его завязана в узел жизни",Оргеев,ORG039_2,both,Сэфер
65,ORG040,"פנ
 האשה מרת רחל
 בת מהרר משה
 שנפטרה ט ימים
 בחודש תשרי
 שנת תקנט לפק
 תנצבה","Здесь покоится  женщина, госпожа Рахель,  дочь, наш учитель рав р. Моше,  который скончалась 9 числа  в месяц тишрей  559 г. по малому летоисчисление  да будет душа её завязана в узел жизни",Оргеев,ORG040,both,Сэфер
66,ORG041,"פנ
 אשה
 מ פעסה בת
 ה אברהם שנ
 ךא באב שנת
 תר לפק
 תנצבה","Здесь покоится  женщина,  госпожа Песя, дочь  р. Авраама, которая скончалась  21 ава,  600 г. по малому летоисислению  да будет душа её завязана в узел жизни",Оргеев,ORG041,both,Сэфер
67,ORG042,"פנ
 הא הח מרת
 רחל בת מוה
 אברהם הכה
 שנ בערב ראש
 חודש אייר שנ
 תיו קוף סמך זין
 לפק תנצבה","Здесь покоится  почтенная женщина, госпожа  Рахель, дочь, нашего учителя р.  Авраама, ха-коэна,  которая скончалась в канун  новомесячья Ияра в год  567  по малому летоисчислению, да будет душа её завязана в узел жизни",Оргеев,ORG042,both,Сэфер
68,ORG043,,,Оргеев,ORG043,both,Сэфер
69,ORG044,"פנ
 אשה השו
 מרת מלכה בת
 הרר מאיר
 שנ יום ב
 ברה שנת
 תקצב לפק
 תנצבה","Здесь покоится  почтенная женщина  госпожа Малка, дочь  рав р. Меир,  которая скончалась на 2 день  новолетия  592 г. по малому летоисчислению,  да будет душа её завязана в узел жизни",Оргеев,ORG044,both,Сэфер
70,ORG045,"פנ
 האשה מרת רבק
 [ב]ת מוהרר אברהם
 הכהן שנפ יום יז
 ... חודש אדר ראשן
 [שנ]ת תקנט לפק
 [ת]נצבה","Здесь покоится  женщина, госпожа Ривка  дочь учителя нашего, рава, р. Авраама  ха-коэна, которая скончалась 17 числа  месяца адар I  559 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG045,both,Сэфер
71,ORG045,"פנ
 האשה מרת רבק
 [ב]ת מוהרר אברהם
 הכהן שנפ יום יז
 ... חודש אדר ראשן
 [שנ]ת תקנט לפק
 [ת]נצבה","Здесь покоится  женщина, госпожа Ривка  дочь учителя нашего, рава, р. Авраама  ха-коэна, которая скончалась 17 числа  месяца адар I  559 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG045_1,both,Сэфер
72,ORG046,"...
 …
 כך…
 ...",,Оргеев,ORG046,both,Сэфер
73,ORG047,"[...]
 צא...
 תנצבה",…  …  да будет душа её (его) завязана в узел жизни,Оргеев,ORG047,both,Сэфер
74,ORG048,"פנ
 אשה חשו מר
 לאה בת הר
 יעקב שנ ך
 אייר שנת תק
 צח לפק
 תנצבה","Здесь покоится  почтенная женщина, госпожа  Леа, дочь р.  Якова, которая скончалась 20  Ияра, 5  98 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG048,both,Сэфер
75,ORG048,"פנ
 אשה חשו מר
 לאה בת הר
 יעקב שנ ך
 אייר שנת תק
 צח לפק
 תנצבה","Здесь покоится  почтенная женщина, госпожа  Леа, дочь р.  Якова, которая скончалась 20  Ияра, 5  98 по малому летоисчислению  да будет душа её завязана в узел жизни",Оргеев,ORG048_1,both,Сэфер
76,ORG049,,,Оргеев,ORG049,both,Сэфер
77,ORG050,"פנ
 האשה מרת
 גלדה בת מוהרר
 אריה הכהן שנ פ
 שלשה ועשרים יום
 בחודש מרחשון
 שנת תקס לפק
 תנצבה","Здесь покоится  женщина, госпожа  Голда, дочь учителя нашего, рав, р.  Арье, ха-коэна, которая скончалась  23 числа  в месяц мархешван  560 по малому летоисчисление  да будет душа её завязана в узел жизни",Оргеев,ORG050,both,Сэфер
78,ORG050,"פנ
 האשה מרת
 גלדה בת מוהרר
 אריה הכהן שנ פ
 שלשה ועשרים יום
 בחודש מרחשון
 שנת תקס לפק
 תנצבה","Здесь покоится  женщина, госпожа  Голда, дочь учителя нашего, рав, р.  Арье, ха-коэна, которая скончалась  23 числа  в месяц мархешван  560 по малому летоисчисление  да будет душа её завязана в узел жизни",Оргеев,ORG050_1,both,Сэфер
79,ORG051,"פ'נ
 איש חשוב
 הר' זאב בהר‘
 פסח שנ‘ יום
 ךו‘ בחו‘ אדר
 שנת תקפז
 לפק ת…","Здесь покоится  человек почтенный,  р. Зеев, сын р.  Песаха, что скончался в день  26 месяца адар  года 587  по малому летоисчислению. Да [будет душа его завязана в узле жизни].",Оргеев,ORG051,both,Сэфер
80,ORG052,"פ'נ
 אשה מרת
 גינע נדיל בת
 הר‘ אהרן שנ יו כו‘
 בחו ניסן שנת
 תקפו לפק
 תנצבה","Здесь покоится  женщина, госпожа  Гиня Нодил, дочь  р Аарона, что скончалась в день 26  месяца нисан года  586 по малому летоисчислению.  Да будет душа ее завязана в узле жизни.",Оргеев,ORG052,both,Сэфер
81,ORG052,"פ'נ
 אשה מרת
 גינע נדיל בת
 הר‘ אהרן שנ יו כו‘
 בחו ניסן שנת
 תקפו לפק
 תנצבה","Здесь покоится  женщина, госпожа  Гиня Нодил, дочь  р Аарона, что скончалась в день 26  месяца нисан года  586 по малому летоисчислению.  Да будет душа ее завязана в узле жизни.",Оргеев,ORG052_1,both,Сэфер
82,ORG052,"פ'נ
 אשה מרת
 גינע נדיל בת
 הר‘ אהרן שנ יו כו‘
 בחו ניסן שנת
 תקפו לפק
 תנצבה","Здесь покоится  женщина, госпожа  Гиня Нодил, дочь  р Аарона, что скончалась в день 26  месяца нисан года  586 по малому летоисчислению.  Да будет душа ее завязана в узле жизни.",Оргеев,ORG052_2,both,Сэфер
83,ORG053,,,Оргеев,ORG053,both,Сэфер
84,ORG054,"פנ
 אשה חשובה
 מ מאלי הונדא
 רייזע בת ה
 מרדכי הלוי
 שנ ךב באייר
 שנת תקצט
 לפק תנצבה","Здесь похоронена  почтенная женщина  госпожа Мали Хинда  Рейзе, дочь р.  Мордехая ха-Леви,  которая скончалась 22 ияра  599 года  по малому исчислению. Да будет душа её завязана в узле жизни.",Оргеев,ORG054,both,Сэфер
85,ORG055,,,Оргеев,ORG055,both,Сэфер
86,ORG056,,,Оргеев,ORG056,both,Сэфер
87,ORG057,"פנ
 הה התורני מוה
 יעקב במוהרר
 אברהם שנ ביו
 שני של פסח
 שנת תקסמך
 לפק תנצבה","Здесь похоронен  уважаемый рав, знаток Писания, наш учитель, р.  Яаков, сын нашего учителя, рава, р.  Авраама, который скончался  на второй день Песаха  560года  по малому исчислению. Да будет душа его завязана в узле жизни.",Оргеев,ORG057,both,Сэфер
88,ORG057,"פנ
 הה התורני מוה
 יעקב במוהרר
 אברהם שנ ביו
 שני של פסח
 שנת תקסמך
 לפק תנצבה","Здесь похоронен  уважаемый рав, знаток Писания, наш учитель, р.  Яаков, сын нашего учителя, рава, р.  Авраама, который скончался  на второй день Песаха  560года  по малому исчислению. Да будет душа его завязана в узле жизни.",Оргеев,ORG057_1,both,Сэфер
89,ORG058,,,Оргеев,ORG058,both,Сэфер
90,ORG059,,,Оргеев,ORG059,both,Сэфер
91,ORG059,,,Оргеев,ORG059_1,both,Сэфер
92,ORG059,,,Оргеев,ORG059_2,both,Сэфер
93,ORG059,,,Оргеев,ORG059_3,both,Сэфер
94,ORG059,,,Оргеев,ORG059_4,both,Сэфер
95,ORG060,"פנ
 אשה חש מרת
 מירקא בת
 מוה דוב בער
 שנ יד ימים
 בחודש טבת
 שנ תקס לפ
 תנצבה","Здесь похоронена  почтенная женщина, госпожа  Мирка, дочь  нашего учителя р. Дова-Бера,  которая скончалась 14 числа  месяца тевет,  в год 560 по малому летоисчислению,  да будет душа ее завязана в узле жизни.",Оргеев,ORG060,both,Сэфер
96,ORG061,"פנ
 ילדה
 פייגה שרה
 בת ה פנחס
 נפ ךב אדר
 תקפב לפ
 תנצבה","Здесь похоронена  девочка  Фейга Сара,  дочь р. Пинхаса.  Скончалась 22 адара  582 <года> по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG061,both,Сэфер
97,ORG062,"פנ
 אשה חשו
 מרת פריידה
 בת הר יהודה
 שנ יום יא
 בחו סיוון שנת
 תקפח לפק
 תנצבה","Здесь похоронена  почтенная женщина,  госпожа Фрейда,  дочь р. Йехуды,  которая скончалась 11 числа  месяца сиван  588 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG062,both,Сэфер
